did,disease,syd,symptom,prediction
1,hypertensive disease,1.0,pain chest,1.1983461
1,hypertensive disease,3.0,dizziness,1.0259689
1,hypertensive disease,2.0,shortness of breath,1.0162743
1,hypertensive disease,4.0,asthenia,0.9041612
1,hypertensive disease,5.0,fall,0.84273833
1,hypertensive disease,6.0,syncope,0.73339075
1,hypertensive disease,7.0,vertigo,0.64678353
6,coronary heart disease,1.0,pain chest,0.5860485
5,coronary arteriosclerosis,1.0,pain chest,0.58590865
6,coronary heart disease,12.0,angina pectoris,0.48676223
8,failure heart congestive,16.0,orthopnea,0.47654974
1,hypertensive disease,9.0,sweating increased,0.4754956
5,coronary arteriosclerosis,2.0,shortness of breath,0.46442148
6,coronary heart disease,2.0,shortness of breath,0.44748542
9,accident cerebrovascular,4.0,asthenia,0.42602232
8,failure heart congestive,63.0,jugular venous distention,0.41922173
6,coronary heart disease,43.0,hypokinesia,0.4057197
2,diabetes,1.0,pain chest,0.40468094
1,hypertensive disease,8.0,sweat,0.40225878
2,diabetes,15.0,polydypsia,0.38908523
5,coronary arteriosclerosis,43.0,hypokinesia,0.37409636
1,hypertensive disease,10.0,palpitation,0.37281945
5,coronary arteriosclerosis,12.0,angina pectoris,0.3688602
2,diabetes,2.0,shortness of breath,0.36232167
9,accident cerebrovascular,66.0,speech slurred,0.3550982
6,coronary heart disease,8.0,sweat,0.3454788
10,asthma,2.0,shortness of breath,0.32689232
8,failure heart congestive,17.0,rale,0.32410586
2,diabetes,4.0,asthenia,0.31917188
10,asthma,46.0,cough,0.3142317
8,failure heart congestive,2.0,shortness of breath,0.31147468
6,coronary heart disease,9.0,sweating increased,0.30496845
5,coronary arteriosclerosis,8.0,sweat,0.29540086
1,hypertensive disease,11.0,nausea,0.29477924
5,coronary arteriosclerosis,9.0,sweating increased,0.28989178
2,diabetes,16.0,orthopnea,0.27905783
6,coronary heart disease,13.0,pressure chest,0.2746691
3,depression mental,22.0,feeling suicidal,0.27402836
4,depressive disorder,22.0,feeling suicidal,0.27167717
9,accident cerebrovascular,67.0,facial paresis,0.27066046
3,depression mental,23.0,suicidal,0.26078954
4,depressive disorder,23.0,suicidal,0.25868985
10,asthma,45.0,chest tightness,0.24998389
3,depression mental,25.0,feeling hopeless,0.2427351
4,depressive disorder,25.0,feeling hopeless,0.24073988
3,depression mental,24.0,hallucinations auditory,0.23986246
16,chronic obstructive airway disease,2.0,shortness of breath,0.2392595
4,depressive disorder,24.0,hallucinations auditory,0.23766437
3,depression mental,26.0,weepiness,0.23645936
4,depressive disorder,26.0,weepiness,0.23451899
9,accident cerebrovascular,68.0,hemiplegia,0.22864188
7,pneumonia,2.0,shortness of breath,0.22635068
2,diabetes,9.0,sweating increased,0.22105776
2,diabetes,17.0,rale,0.2191385
3,depression mental,27.0,sleeplessness,0.21854469
4,depressive disorder,27.0,sleeplessness,0.2168927
5,coronary arteriosclerosis,13.0,pressure chest,0.21429239
2,diabetes,11.0,nausea,0.21145375
1,hypertensive disease,12.0,angina pectoris,0.21133247
2,diabetes,8.0,sweat,0.20673661
7,pneumonia,48.0,decreased translucency,0.20599967
10,asthma,56.0,non-productive cough,0.20563698
7,pneumonia,46.0,cough,0.20175564
7,pneumonia,47.0,fever,0.20027854
3,depression mental,28.0,motor retardation,0.19885547
4,depressive disorder,28.0,motor retardation,0.19709845
13,infection,47.0,fever,0.19506463
3,depression mental,29.0,irritable mood,0.19035399
4,depressive disorder,29.0,irritable mood,0.18890068
12,hypercholesterolemia,1.0,pain chest,0.18875329
13,infection,80.0,erythema,0.1881561
14,infection urinary tract,87.0,dysuria,0.18662113
8,failure heart congestive,46.0,cough,0.18634778
14,infection urinary tract,47.0,fever,0.1842975
6,coronary heart disease,44.0,dyspnea on exertion,0.1827376
13,infection,48.0,decreased translucency,0.18238665
7,pneumonia,17.0,rale,0.1791424
3,depression mental,30.0,blackout,0.17543475
5,coronary arteriosclerosis,44.0,dyspnea on exertion,0.17475183
4,depressive disorder,30.0,blackout,0.17411624
11,myocardial infarction,72.0,st segment elevation,0.17007446
9,accident cerebrovascular,18.0,unresponsiveness,0.16834505
14,infection urinary tract,89.0,renal angle tenderness,0.16452515
14,infection urinary tract,88.0,hematuria,0.16363862
12,hypercholesterolemia,8.0,sweat,0.1599139
3,depression mental,31.0,mood depressed,0.15939353
16,chronic obstructive airway disease,57.0,wheezing,0.1585895
4,depressive disorder,31.0,mood depressed,0.158003
7,pneumonia,51.0,yellow sputum,0.15607643
3,depression mental,32.0,hallucinations visual,0.15128842
4,depressive disorder,32.0,hallucinations visual,0.15006903
10,asthma,49.0,productive cough,0.14987558
11,myocardial infarction,1.0,pain chest,0.14904538
12,hypercholesterolemia,79.0,nonsmoker,0.14820729
7,pneumonia,49.0,productive cough,0.14710018
2,diabetes,18.0,unresponsiveness,0.14432496
14,infection urinary tract,90.0,lethargy,0.1428917
14,infection urinary tract,4.0,asthenia,0.14072232
12,hypercholesterolemia,13.0,pressure chest,0.13601258
11,myocardial infarction,12.0,angina pectoris,0.12902653
2,diabetes,7.0,vertigo,0.12814794
11,myocardial infarction,2.0,shortness of breath,0.12803006
5,coronary arteriosclerosis,16.0,orthopnea,0.12698157
3,depression mental,33.0,worry,0.12662601
7,pneumonia,56.0,non-productive cough,0.12647893
9,accident cerebrovascular,69.0,seizure,0.12595768
4,depressive disorder,33.0,worry,0.12573056
13,infection,82.0,pruritus,0.1253672
6,coronary heart disease,16.0,orthopnea,0.12509
13,infection,53.0,chill,0.124861196
16,chronic obstructive airway disease,59.0,distress respiratory,0.12479167
12,hypercholesterolemia,78.0,pain,0.124088705
12,hypercholesterolemia,2.0,shortness of breath,0.12252776
8,failure heart congestive,64.0,dyspnea,0.11892704
11,myocardial infarction,73.0,st segment depression,0.118790925
20,degenerative polyarthritis,126.0,numbness of hand,0.11790272
42,peripheral vascular disease,2.0,shortness of breath,0.11737876
20,degenerative polyarthritis,125.0,food intolerance,0.11645761
3,depression mental,34.0,agitation,0.11633101
4,depressive disorder,34.0,agitation,0.11601967
2,diabetes,19.0,mental status changes,0.115123406
17,dementia,5.0,fall,0.11463308
83,hypertension pulmonary,2.0,shortness of breath,0.11386566
18,insufficiency renal,16.0,orthopnea,0.11224731
11,myocardial infarction,9.0,sweating increased,0.111510165
1,hypertensive disease,13.0,pressure chest,0.11130756
17,dementia,47.0,fever,0.11125515
16,chronic obstructive airway disease,107.0,sputum purulent,0.11117317
24,primary malignant neoplasm,78.0,pain,0.11102269
