disease,code,description,source_name,source_link,root_url
hypertensive disease,C0020538,The presence of chronic increased pressure in the systemic arterial system. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020538
diabetes,C0011847,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011847
depression mental,C0011570,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011570
depressive disorder,C0011581,"Frequent feelings of being down, miserable, and/or hopeless; difficulty recovering from such moods; pessimism about the future; pervasive shame; feeling of inferior self-worth; thoughts of suicide and suicidal behavior. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011581
coronary arteriosclerosis,C0010054,"Reduction of the diameter of the coronary arteries as the result of an accumulation of atheromatous plaques within the walls of the coronary arteries, which increases the risk of myocardial ischemia. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0010054
coronary heart disease,C0010068,An imbalance between myocardial functional requirements and the capacity of the CORONARY VESSELS to supply sufficient blood flow. It is a form of MYOCARDIAL ISCHEMIA (insufficient blood supply to the heart muscle) caused by a decreased capacity of the coronary vessels. [from MeSH],MeSH,http://www.nlm.nih.gov/pubs/factsheets/mesh.html,https://www.ncbi.nlm.nih.gov/medgen/?term=C0010068
pneumonia,C0032285,Inflammation of any part of the lung parenchyma. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0032285
failure heart congestive,C0018802,The presence of an abnormality of cardiac function that is responsible for the failure of the heart to pump blood at a rate that is commensurate with the needs of the tissues or a state in which abnormally elevated filling pressures are required for the heart to do so. Heart failure is frequently related to a defect in myocardial contraction. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0018802
accident cerebrovascular,C0038454,Sudden impairment of blood flow to a part of the brain due to occlusion or rupture of an artery to the brain. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0038454
asthma,C0004096,"Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0004096
myocardial infarction,C0027051,"Necrosis of the myocardium caused by an obstruction of the blood supply to the heart and often associated with chest pain, shortness of breath, palpitations, and anxiety as well as characteristic EKG findings and elevation of serum markers including creatine kinase-MB fraction and troponin. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0027051
hypercholesterolemia,C0020443,An increased concentration of cholesterol in the blood. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020443
infection,C0021311,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0021311
infection urinary tract,C0042029,"A bacterial infectious process affecting any part of the urinary tract, most commonly the bladder and the urethra. Symptoms include urinary urgency and frequency, burning sensation during urination, lower abdominal discomfort, and cloudy urine. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0042029
anemia,C0002871,A reduction in erythrocytes volume or hemoglobin concentration. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0002871
chronic obstructive airway disease,C0024117,"Chronic obstructive pulmonary disease (COPD) is a common, complex disorder associated with substantial morbidity and mortality. COPD is defined by irreversible airflow obstruction due to chronic bronchitis, emphysema, and/or small airways disease. Airflow obstruction is typically determined by reductions in quantitative spirometric indices, including forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (FVC) (Silverman et al., 2002; Celedon et al., 2004). [from OMIM]",OMIM,http://www.omim.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0024117
dementia,C0497327,"A loss of global cognitive ability of sufficient amount to interfere with normal social or occupational function. Dementia represents a loss of previously present cognitive abilities, generally in adults, and can affect memory, thinking, language, judgment, and behavior. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0497327
insufficiency renal,C1565489,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C1565489
confusion,C0009676,"Lack of clarity and coherence of thought, perception, understanding, or action. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0009676
degenerative polyarthritis,C0029408,"Osteoarthritis (OA) is a degenerative disease of the joints characterized by degradation of the hyaline articular cartilage and remodeling of the subchondral bone with sclerosis (Meulenbelt et al., 2006). Clinical problems include pain and joint stiffness often leading to significant disability and joint replacement. Osteoarthritis exhibits a clear predilection for specific joints; it appears most commonly in the hip and knee joints and lumbar and cervical spine, as well as in the distal interphalangeal and the first carpometacarpal (base of thumb) and proximal interphalangeal joints of the hand; however, patients with osteoarthritis may have 1, a few, or all of these sites affected (Stefansson et al., 2003). According to a conservative estimate, greater than 70% of the population of the United States at age 65 years is affected by the disease, reflecting its age dependence. Genetic Heterogeneity of Susceptibility to Osteoarthritis Susceptibility to osteoarthritis has been associated with variation in other genes: OS2 (140600) with variation in the MATN3 gene (602109) on chromosome 2p24; OS3 (607850) with variation in the ASPN gene (608135) on chromosome 9q22; and OS5 (612400) with variation in the GDF5 gene (601146) on chromosome 20q11. Other susceptibility loci for osteoarthritis have been mapped to chromosomes 2q33 (OS4; 610839) and 3p24 (OS6; 612401). [from OMIM]",OMIM,http://www.omim.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0029408
hypothyroidism,C0020676,Deficiency of thyroid hormone. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020676
anxiety state,C0700613,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0700613
malignant neoplasms,C0006826,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006826
primary malignant neoplasm,C1306459,A malignant tumor at the original site of growth. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C1306459
acquired immuno-deficiency syndrome,C0001175,"A syndrome resulting from the acquired deficiency of cellular immunity caused by the human immunodeficiency virus (HIV). It is characterized by the reduction of the Helper T-lymphocytes in the peripheral blood and the lymph nodes. Symptoms include generalized lymphadenopathy, fever, weight loss, and chronic diarrhea. Patients with AIDS are especially susceptible to opportunistic infections (usually pneumocystis carinii pneumonia, cytomegalovirus (CMV) infections, tuberculosis, candida infections, and cryptococcosis), and the development of malignant neoplasms (usually non-Hodgkin lymphoma and Kaposi sarcoma). The human immunodeficiency virus is transmitted through sexual contact, sharing of contaminated needles, or transfusion of contaminated blood. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0001175
HIV,C0019682,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019682
hiv infections,C0019693,An infection caused by the human immunodeficiency virus. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019693
