symptom,code,description,source_name,source_link,root_url
pain chest,C0008031,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0008031
shortness of breath,C0392680,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0392680
dizziness,C0012833,"A sensation of lightheadedness, unsteadiness, turning, spinning or rocking. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0012833
asthenia,C0004093,A state characterized by a feeling of weakness and loss of strength leading to a generalized weakness of the body. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0004093
fall,C0085639,"A sudden movement downward, usually resulting in injury. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085639
syncope,C0039070,"Syncope refers to a generalized weakness of muscles with loss of postural tone, inability to stand upright, and loss of consciousness. Once the patient is in a horizontal position, blood flow to the brain is no longer hindered by gravitation and consciousness is regained. Unconsciousness usually lasts for seconds to minutes. Headache and drowsiness (which usually follow seizures) do not follow a syncopal attack. Syncope results from a sudden impairment of brain metabolism usually due to a reduction in cerebral blood flow. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0039070
vertigo,C0042571,An abnormal sensation of spinning while the body is actually stationary. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0042571
sweat,C0038990,"A watery secretion by the sweat glands that is primarily composed of salt, urea and minerals. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0038990
sweating increased,C0700590,Profuse sweating. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0700590
palpitation,C0030252,"A sensation that the heart is pounding or racing, which is a non-specific sign but may be a manifestation of arrhythmia. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0030252
nausea,C0027497,A sensation of unease in the stomach together with an urge to vomit. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0027497
angina pectoris,C0002962,Paroxysmal chest pain that occurs with exertion or stress and is related to myocardial ischemia. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0002962
pressure chest,C0438716,"Diagnosis
Early symptom-relief after valvulotomy in mitral stenosis indicates role of lobeline-sensitive intrapulmonary receptors.
Anand A,
Roy A,
Bhargava B,
Raj H,
Barde PB,
Vijayan VK
Respir Physiol Neurobiol
2009 Dec 31;169(3):297-302.
Epub 2009 Sep 19
doi: 10.1016/j.resp.2009.09.007.
PMID: 19770072
See all (1)
",Early symptom-relief after valvulotomy in mitral stenosis indicates role of lobeline-sensitive intrapulmonary receptors.,/pubmed/19770072,https://www.ncbi.nlm.nih.gov/medgen/?term=C0438716
polyuria,C0032617,An increased rate of urine production. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0032617
polydypsia,C0085602,Excessive thirst manifested by excessive fluid intake. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085602
shortness of breath,C0392680,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0392680
pain chest,C0008031,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0008031
asthenia,C0004093,A state characterized by a feeling of weakness and loss of strength leading to a generalized weakness of the body. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0004093
nausea,C0027497,A sensation of unease in the stomach together with an urge to vomit. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0027497
orthopnea,C0085619,"A sensation of breathlessness in the recumbent position, relieved by sitting or standing. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085619
rale,C0034642,"Crackles are discontinuous, explosive, and nonmusical adventitious lung sounds normally heard in inspiration and sometimes during expiration. Crackles are usually classified as fine and coarse crackles based on their duration, loudness, pitch, timing in the respiratory cycle, and relationship to coughing and changing body position. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034642
sweat,C0038990,"A watery secretion by the sweat glands that is primarily composed of salt, urea and minerals. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0038990
sweating increased,C0700590,Profuse sweating. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0700590
