syd,did,wei
1,1,0.07692307692307693
2,1,0.07692307692307693
3,1,0.07692307692307693
4,1,0.07692307692307693
5,1,0.07692307692307693
6,1,0.07692307692307693
7,1,0.07692307692307693
8,1,0.07692307692307693
9,1,0.07692307692307693
10,1,0.07692307692307693
11,1,0.07692307692307693
12,1,0.07692307692307693
13,1,0.07692307692307693
14,2,0.06666666666666667
15,2,0.06666666666666667
2,2,0.06666666666666667
1,2,0.06666666666666667
4,2,0.06666666666666667
11,2,0.06666666666666667
16,2,0.06666666666666667
17,2,0.06666666666666667
8,2,0.06666666666666667
9,2,0.06666666666666667
18,2,0.06666666666666667
19,2,0.06666666666666667
7,2,0.06666666666666667
20,2,0.06666666666666667
21,2,0.06666666666666667
22,3,0.047619047619047616
23,3,0.047619047619047616
24,3,0.047619047619047616
25,3,0.047619047619047616
26,3,0.047619047619047616
27,3,0.047619047619047616
28,3,0.047619047619047616
29,3,0.047619047619047616
30,3,0.047619047619047616
31,3,0.047619047619047616
32,3,0.047619047619047616
33,3,0.047619047619047616
34,3,0.047619047619047616
35,3,0.047619047619047616
36,3,0.047619047619047616
37,3,0.047619047619047616
38,3,0.047619047619047616
39,3,0.047619047619047616
40,3,0.047619047619047616
41,3,0.047619047619047616
42,3,0.047619047619047616
22,4,0.047619047619047616
23,4,0.047619047619047616
24,4,0.047619047619047616
25,4,0.047619047619047616
26,4,0.047619047619047616
27,4,0.047619047619047616
28,4,0.047619047619047616
29,4,0.047619047619047616
30,4,0.047619047619047616
31,4,0.047619047619047616
32,4,0.047619047619047616
33,4,0.047619047619047616
34,4,0.047619047619047616
35,4,0.047619047619047616
36,4,0.047619047619047616
37,4,0.047619047619047616
38,4,0.047619047619047616
39,4,0.047619047619047616
40,4,0.047619047619047616
41,4,0.047619047619047616
42,4,0.047619047619047616
1,5,0.1
12,5,0.1
2,5,0.1
43,5,0.1
8,5,0.1
9,5,0.1
13,5,0.1
44,5,0.1
16,5,0.1
45,5,0.1
1,6,0.1
12,6,0.1
2,6,0.1
43,6,0.1
8,6,0.1
9,6,0.1
13,6,0.1
44,6,0.1
16,6,0.1
45,6,0.1
46,7,0.05263157894736842
47,7,0.05263157894736842
48,7,0.05263157894736842
2,7,0.05263157894736842
17,7,0.05263157894736842
49,7,0.05263157894736842
50,7,0.05263157894736842
51,7,0.05263157894736842
52,7,0.05263157894736842
53,7,0.05263157894736842
54,7,0.05263157894736842
55,7,0.05263157894736842
56,7,0.05263157894736842
57,7,0.05263157894736842
58,7,0.05263157894736842
59,7,0.05263157894736842
60,7,0.05263157894736842
61,7,0.05263157894736842
62,7,0.05263157894736842
2,8,0.14285714285714285
16,8,0.14285714285714285
63,8,0.14285714285714285
17,8,0.14285714285714285
64,8,0.14285714285714285
46,8,0.14285714285714285
57,8,0.14285714285714285
65,9,0.125
4,9,0.125
66,9,0.125
67,9,0.125
68,9,0.125
18,9,0.125
69,9,0.125
70,9,0.125
57,10,0.1111111111111111
46,10,0.1111111111111111
2,10,0.1111111111111111
45,10,0.1111111111111111
56,10,0.1111111111111111
50,10,0.1111111111111111
49,10,0.1111111111111111
71,10,0.1111111111111111
59,10,0.1111111111111111
1,11,0.05263157894736842
72,11,0.05263157894736842
8,11,0.05263157894736842
9,11,0.05263157894736842
2,11,0.05263157894736842
73,11,0.05263157894736842
43,11,0.05263157894736842
12,11,0.05263157894736842
13,11,0.05263157894736842
74,11,0.05263157894736842
16,11,0.05263157894736842
17,11,0.05263157894736842
45,11,0.05263157894736842
75,11,0.05263157894736842
10,11,0.05263157894736842
64,11,0.05263157894736842
76,11,0.05263157894736842
77,11,0.05263157894736842
6,11,0.05263157894736842
78,12,0.06666666666666667
1,12,0.06666666666666667
8,12,0.06666666666666667
9,12,0.06666666666666667
79,12,0.06666666666666667
13,12,0.06666666666666667
6,12,0.06666666666666667
70,12,0.06666666666666667
76,12,0.06666666666666667
2,12,0.06666666666666667
73,12,0.06666666666666667
33,12,0.06666666666666667
74,12,0.06666666666666667
77,12,0.06666666666666667
