did,disease,syd,symptom,prediction
148,decubitus ulcer,211.0,systolic murmur,0.48839062
148,decubitus ulcer,300.0,frail,0.32223284
103,kidney disease,2.0,shortness of breath,0.25312895
139,migraine disorders,363.0,ambidexterity,0.22447439
140,pancytopenia,398.0,hypoproteinemia,0.21382028
103,kidney disease,1.0,pain chest,0.19783205
123,aphasia,168.0,clonus,0.19056953
93,hepatitis B,326.0,inappropriate affect,0.18825807
8,failure heart congestive,16.0,orthopnea,0.17592299
103,kidney disease,115.0,hyperkalemia,0.16698869
86,thrombocytopaenia,308.0,monocytosis,0.16586693
147,affect labile,290.0,extreme exhaustion,0.16456442
123,aphasia,247.0,egophony,0.16433208
113,melanoma,253.0,paraparesis,0.162754
83,hypertension pulmonary,233.0,Stahli's line,0.16090177
139,migraine disorders,20.0,vomiting,0.16064624
8,failure heart congestive,63.0,jugular venous distention,0.16021839
85,gout,137.0,hot flush,0.15930769
86,thrombocytopaenia,97.0,ecchymosis,0.15808381
130,pneumothorax,385.0,cardiovascular finding,0.15757656
60,pancreatitis,20.0,vomiting,0.15746814
6,coronary heart disease,1.0,pain chest,0.15628965
79,sickle cell anemia,292.0,breakthrough pain,0.15267318
9,accident cerebrovascular,66.0,speech slurred,0.15060061
148,decubitus ulcer,47.0,fever,0.15040821
60,pancreatitis,148.0,pain abdominal,0.14781718
140,pancytopenia,346.0,fatigability,0.14712858
147,affect labile,27.0,sleeplessness,0.14678642
140,pancytopenia,99.0,haemorrhage,0.14628723
5,coronary arteriosclerosis,1.0,pain chest,0.14577816
105,glaucoma,5.0,fall,0.14576304
86,thrombocytopaenia,309.0,posterior rhinorrhea,0.14513354
98,tricuspid valve insufficiency,2.0,shortness of breath,0.14356475
130,pneumothorax,64.0,dyspnea,0.1433635
93,hepatitis B,60.0,tachypnea,0.1416743
83,hypertension pulmonary,303.0,heavy legs,0.14109774
113,melanoma,133.0,mass of body structure,0.14109421
10,asthma,2.0,shortness of breath,0.14026155
42,peripheral vascular disease,194.0,rest pain,0.13940597
106,neoplasm metastasis,98.0,tumor cell invasion,0.13889024
68,stenosis aortic valve,211.0,systolic murmur,0.13872534
16,chronic obstructive airway disease,2.0,shortness of breath,0.1385962
10,asthma,46.0,cough,0.13780743
130,pneumothorax,386.0,cardiovascular event,0.13776533
60,pancreatitis,11.0,nausea,0.13749488
106,neoplasm metastasis,144.0,thicken,0.13731113
103,kidney disease,47.0,fever,0.13685694
9,accident cerebrovascular,4.0,asthenia,0.1367727
98,tricuspid valve insufficiency,78.0,pain,0.13569671
123,aphasia,67.0,facial paresis,0.13556981
133,hyperbilirubinemia,60.0,tachypnea,0.13429639
9,accident cerebrovascular,65.0,dysarthria,0.1340538
53,arthritis,78.0,pain,0.13367793
105,glaucoma,114.0,unsteady gait,0.13365896
139,migraine disorders,70.0,numbness,0.13306217
123,aphasia,228.0,aphagia,0.13285047
87,hypoglycemia,220.0,"hypothermia, natural",0.13234523
140,pancytopenia,101.0,fatigue,0.13192521
71,schizophrenia,274.0,hypersomnolence,0.13025248
8,failure heart congestive,2.0,shortness of breath,0.13019644
104,fibroid tumor,347.0,para 2,0.13004327
70,carcinoma breast,271.0,mass in breast,0.12991224
114,gastroenteritis,365.0,breath-holding spell,0.12976198
79,sickle cell anemia,103.0,pain back,0.12938237
125,pyelonephritis,47.0,fever,0.12914984
125,pyelonephritis,47.0,fever,0.12914984
6,coronary heart disease,12.0,angina pectoris,0.12897663
69,malignant neoplasm of breast,271.0,mass in breast,0.12878253
93,hepatitis B,51.0,yellow sputum,0.12809739
